,genes,taxons,genes_with_Z-DNA,Max_z-score,Average_z-score
12924,22,7,0,0.0,0.0
12933,29,7,4,980.8116,66.1923105263158
12936,38,8,2,712.187,37.30556578947368
12942,33,6,5,908.3955,92.3423552631579
12943,29,7,2,3428.529,110.39874210526317
12945,39,8,3,13713.99,471.2932157894737
12948,28,7,6,211093.9,5711.793526315789
12977,24,7,1,848.0313,22.316613157894736
13090,24,6,1,0.0,0.0
13197,31,6,1,650.9198,17.129468421052632
13198,48,7,6,2347.625,125.99467105263157
13218,30,8,3,904.32,70.30191578947368
13221,40,7,5,2730.077,141.97185263157894
13283,20,7,1,783.823,20.626921052631577
13284,28,7,2,12723.6,389.86007894736844
13295,34,7,1,980.8116,25.81083157894737
13302,25,7,3,2057.902,101.9656052631579
13312,34,6,1,739.95,19.472368421052632
13328,32,7,1,2752.447,72.4328157894737
13330,29,7,1,2541.412,66.87926315789473
13334,33,7,0,0.0,0.0
13341,27,7,3,1057.108,77.42735789473684
13353,27,8,6,883.5764,111.91572105263158
13362,29,7,0,0.0,0.0
13363,34,6,0,0.0,0.0
13375,27,6,0,0.0,0.0
13382,45,8,2,3428.529,110.85136842105263
13383,27,5,1,963.953,25.367184210526315
13384,41,8,0,0.0,0.0
13395,33,6,1,2752.447,72.4328157894737
13396,25,5,3,6910.52,230.36061315789476
13398,28,5,0,0.0,0.0
13406,28,6,4,6910.52,261.6091894736842
13407,36,8,2,10272.33,290.4987684210526
13409,35,7,1,705.4245,18.563802631578948
13412,25,7,1,650.9198,17.129468421052632
13415,25,7,1,6565.992,172.78926315789474
13420,26,8,0,0.0,0.0
13430,33,8,1,909.7584,23.94101052631579
13432,28,7,0,0.0,0.0
13433,28,7,5,1323.054,115.52030263157894
13434,34,8,2,1117.472,52.042213157894736
13436,38,7,1,1733.503,45.6185
13442,28,8,1,826.2209,21.742655263157896
13448,36,7,2,883.5764,43.42630526315789
13675,45,7,3,1364.641,74.64970263157895
13785,28,6,2,731.2843,35.51228421052632
13801,25,7,3,21732.38,1026.5623684210527
13815,37,8,2,908.3955,46.5402
13821,25,7,0,0.0,0.0
